Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
27302,11,soft-hit,95.32728,13.964027,58.961773,168.25308,0,0
27302,11,soft-hit,96.071088,8.569351,59.511266,164.151705,0,0
27302,11,soft-hit,94.670086,9.414002,57.756789,161.84087699999998,0,0
27302,11,soft-hit,95.003447,23.373258,57.900916,176.277621,0,0
27302,11,soft-hit,95.404795,9.617086,58.391025,163.412906,0,0
27302,11,soft-hit,97.944801,9.453697,60.387181,167.78567900000002,0,0
27302,11,soft-hit,98.388304,17.713698,60.842791,176.944793,0,0
27302,11,soft-hit,95.402802,10.740925,59.83971,165.98343699999998,0,0
27302,11,soft-hit,98.111025,9.631272,59.942105,167.68440199999998,0,0
27302,11,soft-hit,99.243526,10.665841,60.048183,169.95755,0,0
27302,11,soft-hit,96.58484,10.086852,58.585978,165.25767000000002,0,0
27302,11,soft-hit,97.541743,16.602146,57.990703,172.134592,0,0
27302,11,soft-hit,98.400934,9.435759,58.197391,166.034084,0,0
27302,11,soft-hit,96.695302,9.10102,58.290912,164.087234,0,0
27302,11,soft-hit,96.790861,9.722409,58.332416,164.845686,0,0
27302,11,soft-hit,96.067788,9.380037,58.022471,163.470296,0,0
27302,11,soft-hit,96.288563,10.424862,58.99243,165.70585499999999,0,0
27302,11,soft-hit,99.587358,9.545142,59.505915,168.638415,0,0
27302,11,soft-hit,97.130622,9.506473,58.780439,165.417534,0,0
27302,11,soft-hit,98.244148,9.311746,58.298804,165.85469799999998,0,0
27302,11,soft-hit,97.131241,9.428412,58.130331,164.68998399999998,0,0
27302,11,soft-hit,106.532537,9.49117,58.053868,174.07757500000002,0,0
27302,11,soft-hit,95.011719,9.596868,58.955289,163.563876,0,0
27302,11,soft-hit,95.413502,13.993327,58.124538,167.531367,0,0
27302,11,soft-hit,97.028771,9.26893,58.670398,164.968099,0,0
27302,11,soft-hit,95.608618,9.676345,58.262098,163.547061,0,0
27302,11,soft-hit,97.129433,12.228553,60.080266,169.438252,0,0
27302,11,soft-hit,96.079171,9.434334,58.321917,163.835422,0,0
27302,11,soft-hit,95.898932,10.395404,58.233348,164.527684,0,0
27302,11,soft-hit,96.279951,9.510063,59.437307,165.227321,0,0
27302,11,soft-hit,97.1834,9.439499,59.61175,166.234649,0,0
27302,11,soft-hit,96.273749,15.584831,59.036261,170.89484099999999,0,0
27302,11,soft-hit,98.63766,16.654947,59.157194,174.44980099999998,0,0
27302,11,soft-hit,97.231621,11.853969,59.062055,168.147645,0,0
27302,11,soft-hit,103.093546,10.319256,63.049523,176.46232500000002,0,0
27302,11,soft-hit,98.963004,8.444435,60.064261,167.4717,0,0
27302,11,soft-hit,99.811649,16.821398,59.952367,176.58541400000001,0,0
27302,11,soft-hit,97.113734,16.287466,58.959436,172.360636,0,0
27302,11,soft-hit,96.279125,17.509618,58.762658,172.551401,0,0
27302,11,soft-hit,96.270745,14.519113,58.8435,169.633358,0,0
27302,11,soft-hit,97.506164,9.661468,58.871409,166.039041,0,0
27302,11,soft-hit,97.368222,9.180263,58.919703,165.468188,0,0
27302,11,soft-hit,97.839565,10.260686,60.148625,168.248876,0,0
27302,11,soft-hit,98.945002,8.678189,60.301988,167.925179,0,0
27302,11,soft-hit,97.754363,9.941438,61.568975,169.26477599999998,0,0
27302,11,soft-hit,100.001451,10.218649,61.310166,171.530266,0,0
27302,11,soft-hit,99.644851,9.702771,61.613816,170.961438,0,0
27302,11,soft-hit,96.699388,8.849874,60.013021,165.562283,0,0
27302,11,soft-hit,97.740343,9.315006,60.247232,167.30258099999998,0,0
27302,11,soft-hit,95.288467,20.42583,60.111475,175.825772,0,0
27302,11,soft-hit,96.00843,10.087963,59.542864,165.639257,0,0
27302,11,soft-hit,101.60071,13.05173,59.898207,174.55064700000003,0,0
27302,11,soft-hit,103.762256,14.392062,63.34968,181.503998,0,0
27302,11,soft-hit,97.879098,9.312339,60.830788,168.022225,0,0
27302,11,soft-hit,98.318587,14.306704,60.611345,173.23663599999998,0,0
27302,11,soft-hit,97.610331,13.696012,60.828141,172.134484,0,0
27302,11,soft-hit,96.966973,9.599426,59.224003,165.790402,0,0
27302,11,soft-hit,97.851498,23.644148,59.695702,181.191348,0,0
27302,11,soft-hit,95.409384,9.21378,59.17331,163.796474,0,0
27302,11,soft-hit,97.148808,10.229799,59.367146,166.745753,0,0
27302,11,soft-hit,96.375182,12.55297,59.558083,168.486235,0,0
27302,11,soft-hit,96.968766,10.42745,60.728594,168.12481000000002,0,0
27302,11,soft-hit,96.665187,10.14492,60.619719,167.429826,0,0
27302,11,soft-hit,96.531587,9.827072,60.130061,166.48872,0,0
10054,10,miss,93.131841,9.959384,56.902133,0,159.993358,0
10054,10,soft-hit,93.076237,13.295898,55.648435,162.02057000000002,0,0
10054,10,soft-hit,92.770968,13.247652,56.412387,162.431007,0,0
10054,10,soft-hit,94.060564,9.342024,58.446484,161.84907199999998,0,0
10054,10,soft-hit,95.253933,9.580717,57.948253,162.782903,0,0
10054,10,soft-hit,110.604861,9.548302,74.248493,194.401656,0,0
10054,10,soft-hit,103.67009,9.619874,66.265632,179.55559599999998,0,0
10054,10,soft-hit,97.266609,9.47924,60.431873,167.17772200000002,0,0
10054,10,soft-hit,92.490557,9.465337,56.530706,158.4866,0,0
10054,10,soft-hit,91.140534,8.828197,57.049511,157.018242,0,0
10054,10,soft-hit,92.068447,9.058813,55.81731,156.94457,0,0
10054,10,soft-hit,92.373925,15.154634,55.918148,163.446707,0,0
10054,10,soft-hit,92.689479,9.134837,55.865486,157.689802,0,0
10054,10,soft-hit,91.58596,9.298186,55.810632,156.69477799999999,0,0
10054,10,soft-hit,92.889501,9.290055,56.189274,158.36883,0,0
10054,10,soft-hit,93.08635,9.548919,57.272975,159.908244,0,0
10054,10,soft-hit,92.198935,9.09221,56.118446,157.409591,0,0
10054,10,soft-hit,92.466062,9.876628,55.76729,158.10998,0,0
10054,10,soft-hit,91.660643,16.174096,55.631649,163.466388,0,0
10054,10,soft-hit,92.330419,11.193009,55.463487,158.986915,0,0
10054,10,soft-hit,92.426723,13.859718,55.613666,161.900107,0,0
10054,10,soft-hit,92.53032,9.045803,55.7696,157.34572300000002,0,0
10054,10,soft-hit,92.750189,17.312538,55.890775,165.95350200000001,0,0
10054,10,soft-hit,94.676467,9.073029,57.657557,161.40705300000002,0,0
10054,10,soft-hit,94.04584,12.8453,57.354341,164.24548099999998,0,0
10054,10,soft-hit,92.190407,16.177376,56.051106,164.41888899999998,0,0
10054,10,soft-hit,94.141499,11.500146,57.429828,163.071473,0,0
10054,10,soft-hit,96.202808,8.928276,57.67842,162.809504,0,0
10054,10,soft-hit,94.149581,9.431152,58.001229,161.581962,0,0
10054,10,soft-hit,93.973215,9.107921,57.940385,161.021521,0,0
10054,10,soft-hit,94.69038,21.423625,57.270479,173.38448400000001,0,0
10054,10,soft-hit,81.034556,14.094454,57.584583,152.713593,0,0
10054,10,soft-hit,77.176767,16.47457,57.107942,150.759279,0,0
10054,10,soft-hit,93.12243,9.730742,56.967923,159.821095,0,0
10054,10,soft-hit,94.155202,16.112042,56.392311,166.659555,0,0
10054,10,soft-hit,92.966634,11.338091,56.17195,160.476675,0,0
10054,10,soft-hit,94.433612,9.128046,57.887543,161.44920100000002,0,0
10054,10,soft-hit,98.022684,14.59645,61.127994,173.747128,0,0
10054,11,soft-hit,101.994479,9.664167,61.66318,173.321826,0,0
10054,11,soft-hit,106.667757,10.543,67.25098,184.461737,0,0
10054,11,soft-hit,99.082296,9.482585,60.786114,169.350995,0,0
10054,11,soft-hit,102.786302,9.703884,64.019121,176.509307,0,0
10054,11,soft-hit,99.116368,10.35929,60.457669,169.933327,0,0
10054,11,soft-hit,100.39618,18.468685,60.716268,179.58113300000002,0,0
10054,11,soft-hit,98.31996,13.720523,60.292577,172.33306,0,0
10054,11,soft-hit,97.933728,14.827868,60.25705,173.018646,0,0
10054,11,soft-hit,98.350841,9.305654,60.348257,168.004752,0,0
10054,11,soft-hit,99.55887,13.460628,61.307344,174.326842,0,0
10054,11,soft-hit,101.318257,13.689004,61.996837,177.004098,0,0
10054,11,soft-hit,100.691106,16.827208,60.391814,177.910128,0,0
10054,11,soft-hit,101.089373,11.570609,62.472297,175.13227899999998,0,0
10054,11,soft-hit,98.473059,17.754922,60.352575,176.580556,0,0
10054,11,soft-hit,98.491129,11.067089,60.706091,170.264309,0,0
10054,11,soft-hit,102.02661,12.797356,61.149859,175.973825,0,0
10054,11,soft-hit,99.745629,16.749543,61.206601,177.701773,0,0
10054,11,soft-hit,100.717657,27.308195,62.239617,190.265469,0,0
10054,11,soft-hit,98.28257,10.25127,60.461338,168.995178,0,0
10054,11,soft-hit,99.98393,15.400768,61.122056,176.506754,0,0
10054,11,soft-hit,105.765686,9.356347,66.786484,181.90851700000002,0,0
10054,11,soft-hit,101.256157,12.765263,62.524838,176.54625800000002,0,0
10054,11,soft-hit,100.06076,15.46839,61.982451,177.51160099999998,0,0
10054,11,soft-hit,100.451609,13.72966,62.133513,176.314782,0,0
10054,11,soft-hit,100.455043,10.638093,61.645595,172.738731,0,0
10054,11,soft-hit,100.074405,9.557592,61.765133,171.39713,0,0
10054,11,soft-hit,100.786176,15.327451,62.501334,178.614961,0,0
10054,11,soft-hit,101.235488,14.639296,62.2575,178.132284,0,0
10054,11,soft-hit,104.358212,9.968021,66.464377,180.79061000000002,0,0
10054,11,soft-hit,99.898212,10.014351,61.553207,171.46577000000002,0,0
